Location,NearestHub,Distance(meters),OrderTime,WaitTimeMinutes,DepartureTime,ArrivalTime,DeliveryCompleteTime,OrderDateTime,DeliveryCompleteDateTime,TotalDeliveryTimeMinutes
Rock Garden - Point 90,A,5515.963897087876,00:11,0.0,00:11:00,00:19:16,00:19:16,1900-01-01 00:11:00,1900-01-01 00:19:16,8.266666666666667
Sector 22 Market - Point 23,A,2463.100836050772,00:37,0.0,00:37:00,00:40:41,00:40:41,1900-01-01 00:37:00,1900-01-01 00:40:41,3.683333333333333
Sector 22 Market - Point 82,A,2057.0678514472675,00:56,0.0,00:56:00,00:59:05,00:59:05,1900-01-01 00:56:00,1900-01-01 00:59:05,3.0833333333333335
Sukhna Lake - Point 43,A,3755.1382052102863,02:09,0.0,02:09:00,02:14:37,02:14:37,1900-01-01 02:09:00,1900-01-01 02:14:37,5.616666666666666
Sector 7 Market - Point 41,A,2595.599680074066,03:17,0.0,03:17:00,03:20:53,03:20:53,1900-01-01 03:17:00,1900-01-01 03:20:53,3.8833333333333333
Sector 7 Market - Point 72,A,2876.593812031289,03:46,0.0,03:46:00,03:50:18,03:50:18,1900-01-01 03:46:00,1900-01-01 03:50:18,4.3
Sector 26 Food Court - Point 81,A,3211.867446826784,03:46,8.63,03:54:37,03:59:26,03:59:26,1900-01-01 03:46:00,1900-01-01 03:59:26,13.433333333333334
Sector 26 Food Court - Point 77,A,3198.395321532265,04:55,0.0,04:55:00,04:59:47,04:59:47,1900-01-01 04:55:00,1900-01-01 04:59:47,4.783333333333333
Rock Garden - Point 53,A,4256.627059543417,05:36,0.0,05:36:00,05:42:23,05:42:23,1900-01-01 05:36:00,1900-01-01 05:42:23,6.383333333333334
Rock Garden - Point 76,A,4387.728090789897,05:42,6.77,05:48:46,05:55:21,05:55:21,1900-01-01 05:42:00,1900-01-01 05:55:21,13.35
Rock Garden - Point 36,A,5133.640116892835,05:55,6.93,06:01:55,06:09:38,06:09:38,1900-01-01 05:55:00,1900-01-01 06:09:38,14.633333333333333
Sector 26 Food Court - Point 3,A,2742.6115485042583,06:56,0.0,06:56:00,07:00:06,07:00:06,1900-01-01 06:56:00,1900-01-01 07:00:06,4.1
Sukhna Lake - Point 14,A,5667.725619036306,07:32,0.0,07:32:00,07:40:30,07:40:30,1900-01-01 07:32:00,1900-01-01 07:40:30,8.5
Sukhna Lake - Point 95,A,4418.305119910176,07:34,15.0,07:49:00,07:55:37,07:55:37,1900-01-01 07:34:00,1900-01-01 07:55:37,21.616666666666667
Elante Mall - Point 4,A,3985.4793143713578,08:34,0.0,08:34:00,08:39:58,08:39:58,1900-01-01 08:34:00,1900-01-01 08:39:58,5.966666666666667
Elante Mall - Point 61,A,4202.416508405934,08:47,0.0,08:47:00,08:53:18,08:53:18,1900-01-01 08:47:00,1900-01-01 08:53:18,6.3
Sector 7 Market - Point 75,A,2319.1296385135383,09:08,0.0,09:08:00,09:11:28,09:11:28,1900-01-01 09:08:00,1900-01-01 09:11:28,3.466666666666667
