Location,Longitude,Latitude,OrderValue,NearestHub,Distance(meters),Route,Time
Elante Mall - Point 1,76.799736963917,30.704418817895,745.53,A,4516.563978589101,"(30.7032767,76.7992165);(30.7047373,76.7977631);(30.7068849,76.7955248);(30.707142,76.7952849);(30.707268,76.7951745);(30.7073309,76.7952737);(30.7106098,76.8005672);(30.7110254,76.8008059);(30.7139327,76.7978783);(30.7161076,76.7955188);(30.7161457,76.79528);(30.7163383,76.7951188);(30.7165118,76.7951345);(30.7187776,76.7931009);(30.721706,76.7901763);(30.72173,76.7898918);(30.7218928,76.7897422);(30.7221403,76.7897715);(30.7246157,76.7876053);(30.727198,76.7851982);(30.7273664,76.7848887);(30.72742,76.7846228);(30.7275971,76.7844887);(30.7278147,76.7845296);(30.7279518,76.7847428);(30.7279152,76.7850141);(30.7277828,76.785152);(30.7275399,76.7851475);(30.7272863,76.7852337);(30.7246502,76.7876609);(30.7255017,76.7883608);(30.7251674,76.7886398);(30.724728,76.7879258)",16:25
Sector 22 Market - Point 2,76.7856015573775,30.7421063377552,1649.07,B,2572.3272798320213,"(30.7410005,76.7846764);(30.7398684,76.7847422);(30.7395805,76.784268);(30.7426614,76.781706);(30.741578,76.7799727);(30.7415256,76.7798889);(30.7416184,76.779811);(30.7418686,76.779601);(30.7423763,76.7791748);(30.7400941,76.7752457);(30.7400468,76.7751665);(30.7398045,76.7747904);(30.7394825,76.7746678);(30.7393293,76.7743536);(30.7393684,76.7739751);(30.7398094,76.7737014);(30.7400258,76.7737737);(30.7405715,76.773525);(30.7430898,76.7714273);(30.743113,76.7713585);(30.7432015,76.7713177);(30.7432294,76.7713264);(30.7455151,76.7693499);(30.7455537,76.7691112);(30.7457159,76.7689604);(30.7459919,76.7690143);(30.7460999,76.7692041);(30.746064,76.7694752)",03:01
Sector 26 Food Court - Point 3,76.8099000750624,30.7336950263298,1462.74,A,2755.137355623311,"(30.7342432,76.809173);(30.7345507,76.8089269);(30.7342974,76.8085108);(30.7341383,76.8082495);(30.7340347,76.8083369);(30.7336699,76.8086794);(30.7336026,76.8087378);(30.7335527,76.8086597);(30.7313187,76.8051005);(30.7312976,76.8050668);(30.7312723,76.8050266);(30.7296696,76.8024706);(30.7294253,76.8020905);(30.7290647,76.8017149);(30.7289163,76.801686);(30.7287776,76.8015391);(30.7287818,76.8011886);(30.728633,76.8007824);(30.7258526,76.7963377);(30.725669,76.796044);(30.7256009,76.795935);(30.7256728,76.7958778);(30.7258622,76.7957165);(30.7262096,76.7955072);(30.7264588,76.7952254);(30.726662,76.7949097);(30.726695,76.794713);(30.7265519,76.7944516);(30.7262463,76.7939653);(30.7261533,76.7938135);(30.725967,76.7935092);(30.7256744,76.7930314);(30.7255074,76.7927589);(30.7249418,76.7920289);(30.724861,76.7918989);(30.7246233,76.7915162);(30.724595,76.7914706);(30.7242974,76.7905125);(30.7245477,76.7903042);(30.7249147,76.7899987);(30.7252708,76.7897022);(30.7248048,76.7889424);(30.7251674,76.7886398);(30.724728,76.7879258)",06:56
Elante Mall - Point 4,76.8015838897603,30.7042138788363,1961.43,A,4147.176779815389,"(30.7048964,76.8030421);(30.7059272,76.8037862);(30.7077488,76.8053984);(30.7088712,76.8060785);(30.7092009,76.8063243);(30.7093615,76.8064505);(30.7098339,76.8068218);(30.7108003,76.8075815);(30.7117067,76.808315);(30.7132867,76.8096032);(30.7144813,76.8081174);(30.7146809,76.8079444);(30.7147633,76.807471);(30.7144984,76.8070422);(30.7144395,76.8069468);(30.7145599,76.8068496);(30.7147739,76.8066769);(30.7154088,76.8061642);(30.7161612,76.8054577);(30.7164198,76.8051391);(30.7166907,76.8046934);(30.7172473,76.8035694);(30.718428,76.8023678);(30.7187403,76.8022088);(30.7188184,76.8021619);(30.7195726,76.8017462);(30.7198014,76.8015761);(30.7200501,76.8013912);(30.7201215,76.8013382);(30.7203882,76.8011309);(30.7207244,76.8008697);(30.7216471,76.8000939);(30.7219656,76.7998262);(30.722233,76.799597);(30.7225509,76.7992653);(30.7236859,76.797646);(30.7240393,76.7973422);(30.7250929,76.796512);(30.7253953,76.7961464);(30.7256009,76.795935);(30.7256728,76.7958778);(30.7258622,76.7957165);(30.7262096,76.7955072);(30.7264588,76.7952254);(30.726662,76.7949097);(30.726695,76.794713);(30.7265519,76.7944516);(30.7262463,76.7939653);(30.7261533,76.7938135);(30.725967,76.7935092);(30.7256744,76.7930314);(30.7255074,76.7927589);(30.7249418,76.7920289);(30.724861,76.7918989);(30.7246233,76.7915162);(30.724595,76.7914706);(30.7242974,76.7905125);(30.7245477,76.7903042);(30.7249147,76.7899987);(30.7252708,76.7897022);(30.7248048,76.7889424);(30.7251674,76.7886398);(30.724728,76.7879258)",08:34
Sukhna Lake - Point 5,76.8211245193747,30.7420267288751,1751.04,A,5688.82310593589,"(30.7460301,76.8220925);(30.7476807,76.8217438);(30.7484691,76.819936);(30.7490446,76.814213);(30.7489473,76.8123292);(30.74868,76.8112063);(30.7471981,76.8078653);(30.7465435,76.8068025);(30.7457401,76.8059161);(30.7450684,76.8051674);(30.7446359,76.8045046);(30.7447476,76.8044114);(30.7443813,76.8038183);(30.7427272,76.8051452);(30.7421404,76.8042185);(30.7419256,76.8038793);(30.7418104,76.8036973);(30.7415867,76.8033439);(30.7415257,76.8032477);(30.7414071,76.8030604);(30.7411957,76.8027265);(30.7411276,76.8026189);(30.7398281,76.802985);(30.7393211,76.8034113);(30.7392395,76.8034805);(30.7371536,76.8001394);(30.7371096,76.8000689);(30.7368991,76.7997318);(30.7350604,76.7967866);(30.7347847,76.7964454);(30.7345291,76.7963913);(30.7344293,76.7962312);(30.7344486,76.7959303);(30.7342308,76.7954301);(30.731256,76.7907202);(30.7308813,76.7907908);(30.7306657,76.7909661);(30.729744,76.791745);(30.7294529,76.7919733);(30.7293629,76.7920905);(30.7292581,76.7920765);(30.7292095,76.7920186);(30.7292436,76.7918248);(30.728979,76.7914441);(30.7287338,76.7905674);(30.7282039,76.7896052);(30.7276249,76.7886857);(30.727368,76.7882711);(30.7264119,76.7887515);(30.7260149,76.7890828);(30.7256668,76.788546);(30.7255017,76.7883608);(30.7251674,76.7886398);(30.724728,76.7879258)",18:19
Punjab University - Point 6,76.7695262653187,30.7563216315655,1565.36,B,1403.2413611521902,"(30.7552212,76.7698171);(30.7551472,76.7698787);(30.7551003,76.7698037);(30.7521436,76.7650668);(30.7514503,76.7649657);(30.74901,76.7668637);(30.7470416,76.7684186);(30.7460999,76.7692041);(30.746064,76.7694752)",23:15
Sector 22 Market - Point 7,76.7788745809552,30.7334281373279,750.2,A,1641.7211663899172,"(30.7330832,76.779109);(30.7333595,76.7793687);(30.7335329,76.7793844);(30.7337223,76.7796775);(30.7336776,76.7798941);(30.7335037,76.7800449);(30.7333023,76.7800275);(30.7328761,76.780236);(30.7305387,76.7823174);(30.7281799,76.7844027);(30.7279518,76.7847428);(30.7279152,76.7850141);(30.7277828,76.785152);(30.7275399,76.7851475);(30.7272863,76.7852337);(30.7246502,76.7876609);(30.7255017,76.7883608);(30.7251674,76.7886398);(30.724728,76.7879258)",10:04
Sector 17 Plaza - Point 8,76.7794380097661,30.7370194762002,1735.26,A,2422.2662200101145,"(30.7364756,76.7799554);(30.7380554,76.7786324);(30.7369658,76.7769149);(30.7340367,76.7792024);(30.7339761,76.7792541);(30.7337223,76.7796775);(30.7336776,76.7798941);(30.7335037,76.7800449);(30.7333023,76.7800275);(30.7328761,76.780236);(30.7305387,76.7823174);(30.7281799,76.7844027);(30.7279518,76.7847428);(30.7279152,76.7850141);(30.7277828,76.785152);(30.7275399,76.7851475);(30.7272863,76.7852337);(30.7246502,76.7876609);(30.7255017,76.7883608);(30.7251674,76.7886398);(30.724728,76.7879258)",05:19
Sector 7 Market - Point 9,76.8016691827756,30.7379549753576,408.76,A,2439.818974263039,"(30.73779,76.801885);(30.7373108,76.8011086);(30.7371485,76.8008457);(30.736855,76.8003876);(30.7368851,76.8003603);(30.7371096,76.8000689);(30.7368991,76.7997318);(30.7350604,76.7967866);(30.7347847,76.7964454);(30.7345291,76.7963913);(30.7344293,76.7962312);(30.7344486,76.7959303);(30.7342308,76.7954301);(30.731256,76.7907202);(30.7308813,76.7907908);(30.7306657,76.7909661);(30.729744,76.791745);(30.7294529,76.7919733);(30.7293629,76.7920905);(30.7292581,76.7920765);(30.7292095,76.7920186);(30.7292436,76.7918248);(30.728979,76.7914441);(30.7287338,76.7905674);(30.7282039,76.7896052);(30.7276249,76.7886857);(30.727368,76.7882711);(30.7264119,76.7887515);(30.7260149,76.7890828);(30.7256668,76.788546);(30.7255017,76.7883608);(30.7251674,76.7886398);(30.724728,76.7879258)",13:12
Punjab University - Point 10,76.7704678381086,30.7599499785483,188.83,B,2534.0025852931385,"(30.761546,76.7738065);(30.7616035,76.7739061);(30.7615538,76.773943);(30.759436,76.7754936);(30.7592112,76.7757497);(30.7591451,76.776068);(30.7590011,76.7761723);(30.7587456,76.7761183);(30.7586385,76.7759495);(30.7586652,76.7756574);(30.7585262,76.7752841);(30.7551472,76.7698787);(30.7551003,76.7698037);(30.7521436,76.7650668);(30.7514503,76.7649657);(30.74901,76.7668637);(30.7470416,76.7684186);(30.7460999,76.7692041);(30.746064,76.7694752)",03:51
