Location,Hub,OrderTime,WaitMinutes,TravelMinutes,TotalMinutes,VehicleUsed
Rose Garden - Point 99,B,00:09,0.0,3.4956551166666667,3.4956551166666667,B-1
Rock Garden - Point 90,A,00:11,0.0,8.27394585,8.27394585,A-1
Sector 22 Market - Point 23,A,00:37,0.0,3.69465125,3.69465125,A-2
Sector 22 Market - Point 82,A,00:56,0.0,3.0856017833333333,3.0856017833333333,A-1
Rose Garden - Point 45,B,01:17,0.0,2.8769834833333334,2.8769834833333334,B-2
Sector 35 Market - Point 39,D,01:22,0.0,4.985733183333334,4.985733183333334,D-1
Ambedkar Awas Yojna Sector 56 Chandigarh,C,01:25,0.0,3.7056533333333332,3.7056533333333332,C-1
Location_4,D,01:30,0.0,4.207485950000001,4.207485950000001,D-2
Location_2,B,01:34,0.0,4.7509816,4.7509816,B-1
Sector 22 Market - Point 38,B,01:38,0.0,3.258914083333333,3.258914083333333,B-2
Sector 35 Market - Point 65,D,01:39,0.0,5.294725033333333,5.294725033333333,D-1
Sector 17 Plaza - Point 63,B,01:53,0.0,2.9457366333333335,2.9457366333333335,B-1
Sector 40B Chandigarh 160036,C,02:07,0.0,4.0679973,4.0679973,C-2
Sukhna Lake - Point 43,A,02:09,0.0,5.632707300000001,5.632707300000001,A-2
Sector 17 Plaza - Point 89,B,02:28,0.0,3.0853163833333332,3.0853163833333332,D-2
Punjab University - Point 85,B,02:28,0.0,3.4571149,3.4571149,B-2
Punjab University - Point 83,B,02:36,0.0,4.0917123166666665,4.0917123166666665,B-1
Sector 22 Market - Point 2,B,03:01,0.0,3.5195007,3.5195007,C-2
Sector 7 Market - Point 41,A,03:17,0.0,3.893399516666667,3.893399516666667,A-1
Location_3,B,03:45,0.0,4.7836068,4.7836068,D-2
Sector 7 Market - Point 72,A,03:46,0.0,4.314890716666667,4.314890716666667,A-2
Sector 35 Market - Point 25,B,03:46,0.0,5.184306633333334,5.184306633333334,B-2
Sector 26 Food Court - Point 81,A,03:46,0.0,4.8178011666666665,4.8178011666666665,A-1
Punjab University - Point 10,B,03:51,0.0,3.6468215,3.6468215,B-1
Sector 22 Market - Point 57,B,04:51,0.0,3.1756842333333335,3.1756842333333335,C-2
Sector 26 Food Court - Point 77,A,04:55,0.0,4.797592983333333,4.797592983333333,A-2
Sector 17 Plaza - Point 8,B,05:19,0.0,2.5602156333333337,2.5602156333333337,B-2
Rock Garden - Point 53,A,05:36,0.0,6.384940583333333,6.384940583333333,D-2
Rock Garden - Point 76,A,05:42,0.0,6.581592133333333,6.581592133333333,A-1
Sector 17 Plaza - Point 88,B,05:44,0.0,3.208811083333333,3.208811083333333,B-1
Rock Garden - Point 36,A,05:55,0.0,7.700460183333333,7.700460183333333,C-2
Sector 17 Plaza - Point 12,B,06:08,0.0,3.5195007,3.5195007,A-2
Rock Garden - Point 86,B,06:13,0.0,7.1544189,7.1544189,B-2
Rose Garden - Point 80,B,06:17,0.0,3.7094891666666663,3.7094891666666663,B-1
Punjab University - Point 28,B,06:37,0.0,2.5641454666666665,2.5641454666666665,C-2
Sector 26 Food Court - Point 3,A,06:56,0.0,4.113917316666667,4.113917316666667,D-2
Sukhna Lake - Point 14,A,07:32,0.0,8.501588433333334,8.501588433333334,A-1
Sukhna Lake - Point 95,A,07:34,0.0,6.627457683333334,6.627457683333334,C-2
Sector 17 Plaza - Point 71,B,07:43,0.0,3.2379739333333335,3.2379739333333335,A-2
Rose Garden - Point 15,B,08:34,0.0,4.3331006,4.3331006,B-1
Elante Mall - Point 4,A,08:34,0.0,5.978218966666666,5.978218966666666,D-2
Sector 35 Market - Point 66,D,08:41,0.0,5.246250683333333,5.246250683333333,D-1
Elante Mall - Point 61,A,08:47,0.0,6.303624766666667,6.303624766666667,C-2
